Date,returns_actual,returns_pred
2011-01-01,0.0330962602595183,-0.3905443701638238
2011-02-01,0.0300166845987119,-0.39278316496701987
2011-03-01,-0.0125878042872713,-0.395506241570443
2011-04-01,0.0207130756080919,-0.39807761008991904
2011-05-01,0.005106983800347,-0.40066718535701257
2011-06-01,-0.0381227069961369,-0.40100109524882155
2011-07-01,0.0294416953444833,-0.3996754452354661
2011-08-01,-0.1055546751786536,-0.4001093271231008
2011-09-01,-0.0096430469666162,-0.3973879762585272
2011-10-01,0.0284015401915016,-0.3964170577065845
2011-11-01,0.0159043090737396,-0.39657718466118363
2011-12-01,0.0137799448802202,-0.3956919051977777
2012-01-01,0.0460541131808382,-0.3947239728180501
2012-02-01,0.0399129619093021,-0.39642427038367206
2012-03-01,0.0271721047845086,-0.3981627987260276
2012-04-01,-0.0020226886643056,-0.40193180150671987
2012-05-01,-0.0325728670037435,-0.40247251085853875
2012-06-01,-0.0132635487262072,-0.40073601335919606
2012-07-01,0.0274276906337835,-0.39932561075473155
2012-08-01,0.0321154892703232,-0.3984180448480839
2012-09-01,0.0284798175923617,-0.4012639425160502
2012-10-01,-0.0038796746615678,-0.4031904259212784
2012-11-01,-0.0301219902352172,-0.40317162615064883
2012-12-01,0.0199209758266343,-0.4008461037241118
2013-01-01,0.0408566466754318,-0.40027181077032353
2013-02-01,0.0215549851391514,-0.40238992791180755
2013-03-01,0.0254709682538631,-0.40578633557808785
2013-04-01,0.0128124939548499,-0.40674347569192837
2013-05-01,0.0440185904373844,-0.4054885283576962
2013-06-01,-0.0128488145184895,-0.4070997868986456
2013-07-01,0.0308320514958888,-0.40964783839755853
2013-08-01,0.0008449792650477,-0.4112280234700326
2013-09-01,0.0102269937548276,-0.4124158217588919
2013-10-01,0.019476401311071,-0.4132083178613655
2013-11-01,0.036923774585327,-0.41145785686904973
2013-12-01,0.0135909483386971,-0.41131106648621596
2014-01-01,0.0080651406697718,-0.4121692919269051
2014-02-01,-0.002919291468206,-0.41339046747766883
2014-03-01,0.025580064280368,-0.4140410669283132
2014-04-01,0.0003970979651413,-0.41657500781226464
2014-05-01,0.0136837136450924,-0.4177621382828367
2014-06-01,0.0303317334913773,-0.4184325212118316
2014-07-01,0.0133583963761305,-0.41943449959975543
2014-08-01,-0.0058638690385687,-0.4190680225156942
2014-09-01,0.0161608540272135,-0.41785575349081344
2014-10-01,-0.0280750339900563,-0.41871546175397245
2014-11-01,0.0553872201603287,-0.4165852020573119
2014-12-01,0.0047442738570946,-0.4149220168099826
2015-01-01,-0.0127003753158055,-0.4122683184232545
2015-02-01,0.026634716839728,-0.40894837134278816
2015-03-01,-0.0010613773892997,-0.4111142683706987
2015-04-01,0.0071490728320811,-0.4135993550933428
2015-05-01,0.0081532894799651,-0.4139225797209647
2015-06-01,-0.0059897534967849,-0.4170726105820963
2015-07-01,-0.0024532103711255,-0.41910118755060066
2015-08-01,-0.025915172815571,-0.4189214560040018
2015-09-01,-0.0467970998151842,-0.41759772237533976
2015-10-01,0.0413493039019547,-0.41680264564889064
2015-11-01,0.0275630799926906,-0.41634565375478433
2015-12-01,-0.0127558131710739,-0.41654785061773697
2016-01-01,-0.06595653528587,-0.41512359085403433
2016-02-01,-0.0073908057958927,-0.4147662819817498
2016-03-01,0.0617143277218259,-0.41359828849758445
2016-04-01,0.0265041173124953,-0.4159630085068436
2016-05-01,-0.0048132052381547,-0.41748300051207743
2016-06-01,0.0088789910677542,-0.4189953558733703
2016-07-01,0.0311964643047377,-0.41949047381617405
2016-08-01,0.0102610638000837,-0.41835008577572275
2016-09-01,-0.0061079251019138,-0.4190173671790666
2016-10-01,-0.0067989377528746,-0.42023316563630625
2016-11-01,0.0102518875232147,-0.4212822186389375
2016-12-01,0.0377091811047627,-0.422486133542377
2017-01-01,0.0126812158655407,-0.4243864614512389
2017-02-01,0.0240822462111889,-0.42638630361188695
2017-03-01,0.0158418136322864,-0.42763701366900436
2017-04-01,-0.0031730338597781,-0.4282951123797761
2017-05-01,0.0152756526272512,-0.42858441472717185
2017-06-01,0.0161312543052163,-0.4289777361786664
2017-07-01,0.0082621539118896,-0.4288958475445673
2017-08-01,0.000863860478383,-0.4292638116235321
2017-09-01,0.0149090879481481,-0.4299100320294294
2017-10-01,0.0257377128094862,-0.4319770018045065
2017-11-01,0.0143175596402034,-0.43256979778706184
2017-12-01,0.0272708695601882,-0.4325970238525906
2018-01-01,0.0470885847902295,-0.4327014645744133
2018-02-01,-0.0303390924080579,-0.43585564579379166
2018-03-01,-0.0008834967247778,-0.4387979781970607
2018-04-01,-0.0224140418903568,-0.4395860564168143
